event_type,participant_id,study_id,session_id,date,t_global,screen_name,phase,movement_type,t_step_press_global,t_step_press_curr_run,length_step,curr_loc_x,curr_loc_z,to_loc_x,to_loc_z,t_step_end_global,key_pressed,from_rotation,to_rotation,curr_rew_x,curr_rew_z,state,type,trial,task,distance,t_reward_start,reward_delay,reward_found,player_steps,shortest_path,is_optimal,package_number
screen,,,,2026-08-20,1787240003.43258,cue_panel,onset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,0
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240008.39179,cue_panel,button_press,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240008.39295,cue_panel,offset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240008.39514,instruction,onset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240014.47955,instruction,button_press,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240014.48048,instruction,offset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240014.48252,movement,onset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240017.43863,movement,button_press,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240017.44072,movement,offset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240045.10387,,,,0,0,0,35.9,35.9,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,46.063,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240046.9661,,,rotation,1787240046.06583,26.1247379779816,0,35.9,35.9,0,0,0,left,0,270,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240048.73661,,,step,1787240047.26522,27.3241329193115,0,35.9,35.9,25.6,35.9,1787240048.73649,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240050.57289,,,step,1787240049.10138,29.1602909564972,0,25.6,35.9,15.3,35.9,1787240050.57289,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240050.7877,,,,0,0,0,15.3,35.9,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,41.2,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240052.55918,,,step,1787240051.08901,31.1479189395905,0,15.3,35.9,4.999998,35.9,1787240052.55917,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240054.08829,,,step,1787240052.6173,32.6762099266052,0,4.999998,35.9,-5.300003,35.9,1787240054.08828,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240054.41215,,,,0,0,0,-5.300003,35.9,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,46.063,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240055.64532,,,rotation,1787240054.74474,34.8036489486694,0,-5.300003,35.9,0,0,0,left,270,180,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240057.14449,,,step,1787240055.67025,35.7291588783264,0,-5.300003,35.9,-5.300004,25.6,1787240057.14448,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240058.98601,,,step,1787240057.51288,37.5717880725861,0,-5.300004,25.6,-5.300005,15.3,1787240058.986,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240059.25705,,,,0,0,0,-5.300005,15.3,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,29.1328,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240060.51334,,,rotation,1787240059.61291,39.6718199253082,0,-5.300005,15.3,0,0,0,left,180,90,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240062.16116,,,step,1787240060.68652,40.7454340457916,0,-5.300005,15.3,4.999996,15.3,1787240062.16115,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240063.76103,,,step,1787240062.28789,42.3468029499054,0,4.999996,15.3,15.3,15.3,1787240063.76102,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240064.00342,,,,0,0,0,15.3,15.3,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,20.6,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240065.82665,,,step,1787240064.35551,44.4144248962402,0,15.3,15.3,25.6,15.3,1787240065.82664,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240067.30999,,,step,1787240065.8385,45.8974120616913,0,25.6,15.3,35.9,15.3,1787240067.30998,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240067.543,,,,0,0,0,35.9,15.3,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,29.1328,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240068.85922,,,rotation,1787240067.95787,48.0167820453644,0,35.9,15.3,0,0,0,right,90,180,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240070.36182,,,step,1787240068.89111,48.9500260353088,0,35.9,15.3,35.9,4.999998,1787240070.36181,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240072.0814,,,step,1787240070.61096,50.6698679924011,0,35.9,4.999998,35.9,-5.300002,1787240072.08139,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240072.28822,,,,0,0,0,35.9,-5.300002,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,20.6,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240073.52357,,,rotation,1787240072.62304,52.6819539070129,0,35.9,-5.300002,0,0,0,right,180,270,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240075.17489,,,step,1787240073.70431,53.7632200717926,0,35.9,-5.300002,25.6,-5.300004,1787240075.17488,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240076.7791,,,step,1787240075.30851,55.3674230575562,0,25.6,-5.300004,15.3,-5.300005,1787240076.77908,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240077.11181,,,,0,0,0,15.3,-5.300005,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,4.862804E-06,1787240077.1118,0,True,14,6,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240081.14315,,,step,1787240079.67273,59.7316398620605,0,15.3,-5.300005,4.999998,-5.300006,1787240081.14314,up,0,0,-5.3,-5.3,B,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240082.80038,,,step,1787240081.32992,61.3888318538666,0,4.999998,-5.300006,-5.300003,-5.300008,1787240082.80037,up,0,0,-5.3,-5.3,B,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240083.05121,,,,0,0,0,-5.300003,-5.300008,0,0,0,,0,0,-5.3,-5.3,B,forw,0,F8,8.148197E-06,1787240083.0512,0,True,2,2,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240086.8829,,,rotation,1787240085.98175,66.0406620502472,0,-5.300003,-5.300008,0,0,0,right,270,0,-5.3,15.3,C,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240088.50057,,,step,1787240087.02955,67.0884580612183,0,-5.300003,-5.300008,-5.300003,4.999992,1787240088.50056,up,0,0,-5.3,15.3,C,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240090.16799,,,step,1787240088.6968,68.7557148933411,0,-5.300003,4.999992,-5.300003,15.29999,1787240090.16798,up,0,0,-5.3,15.3,C,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240090.5185,,,,0,0,0,-5.300003,15.29999,0,0,0,,0,0,-5.3,15.3,C,forw,0,F8,8.148197E-06,1787240090.51849,0,True,2,2,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240093.28755,,,rotation,1787240092.38633,72.4452450275421,0,-5.300003,15.29999,0,0,0,right,0,90,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240094.96775,,,step,1787240093.49728,73.55619597435,0,-5.300003,15.29999,4.999998,15.29999,1787240094.96774,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240096.56006,,,step,1787240095.08831,75.1472220420837,0,4.999998,15.29999,15.3,15.29999,1787240096.56005,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240097.60092,,,rotation,1787240096.70032,76.7592329978943,0,15.3,15.29999,0,0,0,right,90,180,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240099.21444,,,step,1787240097.74344,77.802356004715,0,15.3,15.29999,15.3,4.99999,1787240099.21444,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240101.10151,,,step,1787240099.63022,79.6891329288483,0,15.3,4.99999,15.3,-5.30001,1787240101.1015,up,0,0,15.3,-5.3,A,forw,0,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240101.33159,,,,0,0,0,15.3,-5.30001,0,0,0,,0,0,15.3,-5.3,A,forw,0,F8,9.956652E-06,1787240101.33158,0,True,4,4,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240103.77296,,,rotation,1787240102.87105,82.9299590587616,0,15.3,-5.30001,0,0,0,right,180,270,-5.3,-5.3,B,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240105.3038,,,step,1787240103.8338,83.8927080631256,0,15.3,-5.30001,4.999996,-5.300011,1787240105.30379,up,0,0,-5.3,-5.3,B,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240107.00211,,,step,1787240105.52801,85.5869190692902,0,4.999996,-5.300011,-5.300005,-5.300013,1787240107.00209,up,0,0,-5.3,-5.3,B,forw,1,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240107.18632,,,,0,0,0,-5.300005,-5.300013,0,0,0,,0,0,-5.3,-5.3,B,forw,1,F8,1.328315E-05,1787240107.18631,0,True,2,2,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240108.42198,,,rotation,1787240107.52115,87.5800578594208,0,-5.300005,-5.300013,0,0,0,right,270,0,-5.3,15.3,C,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240110.02296,,,step,1787240108.55144,88.6103479862213,0,-5.300005,-5.300013,-5.300005,4.999988,1787240110.02295,up,0,0,-5.3,15.3,C,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240111.81833,,,step,1787240110.34712,90.406035900116,0,-5.300005,4.999988,-5.300005,15.29999,1787240111.81832,up,0,0,-5.3,15.3,C,forw,1,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240112.00738,,,,0,0,0,-5.300005,15.29999,0,0,0,,0,0,-5.3,15.3,C,forw,1,F8,1.328315E-05,1787240112.00737,0,True,2,2,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240114.62807,,,rotation,1787240113.72732,93.7862360477448,0,-5.300005,15.29999,0,0,0,right,0,90,15.3,-5.3,A,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240116.40556,,,step,1787240114.93516,94.9940688610077,0,-5.300005,15.29999,4.999996,15.29999,1787240116.40555,up,0,0,15.3,-5.3,A,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240118.01432,,,step,1787240116.54369,96.6026048660278,0,4.999996,15.29999,15.3,15.29999,1787240118.01431,up,0,0,15.3,-5.3,A,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240119.13007,,,rotation,1787240118.22949,98.2883970737457,0,15.3,15.29999,0,0,0,right,90,180,15.3,-5.3,A,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240120.62223,,,step,1787240119.15195,99.2108609676361,0,15.3,15.29999,15.3,4.999986,1787240120.62222,up,0,0,15.3,-5.3,A,forw,1,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240122.15642,,,step,1787240120.68568,100.744590997696,0,15.3,4.999986,15.3,-5.300014,1787240122.15641,up,0,0,15.3,-5.3,A,forw,1,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240122.27189,,,,0,0,0,15.3,-5.300014,0,0,0,,0,0,15.3,-5.3,A,forw,1,F8,1.507891E-05,1787240122.27188,0,True,4,4,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240124.72833,,,rotation,1787240123.82698,103.885896921158,0,15.3,-5.300014,0,0,0,right,180,270,-5.3,-5.3,B,forw,2,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240126.30498,,,step,1787240124.83452,104.893435955048,0,15.3,-5.300014,4.999994,-5.300016,1787240126.30497,up,0,0,-5.3,-5.3,B,forw,2,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240127.95019,,,step,1787240126.47934,106.538249015808,0,4.999994,-5.300016,-5.300007,-5.300017,1787240127.95018,up,0,0,-5.3,-5.3,B,forw,2,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240128.13416,,,,0,0,0,-5.300007,-5.300017,0,0,0,,0,0,-5.3,-5.3,B,forw,2,F8,1.841851E-05,1787240128.13416,0,True,2,2,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240129.39482,,,rotation,1787240128.49415,108.553066968918,0,-5.300007,-5.300017,0,0,0,right,270,0,-5.3,15.3,C,forw,2,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240131.06797,,,step,1787240129.59752,109.656429052353,0,-5.300007,-5.300017,-5.300007,4.999983,1787240131.06796,up,0,0,-5.3,15.3,C,forw,2,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240132.75832,,,step,1787240131.2882,111.347113847733,0,-5.300007,4.999983,-5.300007,15.29998,1787240132.75831,up,0,0,-5.3,15.3,C,forw,2,F8,0,0,0,False,0,0,False,2
reward_check,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240132.92395,,,,0,0,0,-5.300007,15.29998,0,0,0,,0,0,-5.3,15.3,C,forw,2,F8,1.841851E-05,1787240132.92394,0,True,2,2,True,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240134.16877,,,rotation,1787240133.26732,113.32622885704,0,-5.300007,15.29998,0,0,0,right,0,90,15.3,-5.3,A,forw,2,F8,0,0,0,False,0,0,False,2
movement,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-20,1787240135.91886,,,step,1787240134.44713,114.506042957306,0,-5.300007,15.29998,4.999994,15.29998,1787240135.91885,up,0,0,15.3,-5.3,A,forw,2,F8,0,0,0,False,0,0,False,2
